"","DeployID","Ptt","DepthSensor","Source","Instr","Count","Start","End","What","Number","Shape","DepthMin","DepthMax","DurationMin","DurationMax","Shallow","Deep","start","end","t.diff","flag","divenum","depth","duration"
"122","Tt0022",110608,NA,"Transmission","Mk10",1,"9/7/16 21:52","9/7/16 22:03","Surface",NA,"",NA,NA,685,687,487,199,2016-09-07 17:52:00,2016-09-07 18:03:00,0,0,55,NA,686
"123","Tt0022",110608,NA,"Transmission","Mk10",1,"9/7/16 22:03","9/7/16 22:08","Dive",1,"U",111,112.5,275,277,NA,NA,2016-09-07 18:03:00,2016-09-07 18:08:00,0,0,56,111.75,276
"124","Tt0022",110608,NA,"Transmission","Mk10",1,"9/7/16 22:08","9/7/16 22:15","Surface",NA,"",NA,NA,429,431,361,69,2016-09-07 18:08:00,2016-09-07 18:15:00,0,0,56,NA,430
"125","Tt0022",110608,NA,"Transmission","Mk10",1,"9/7/16 22:15","9/7/16 22:25","Dive",1,"Square",484,491.5,599,601,NA,NA,2016-09-07 18:15:00,2016-09-07 18:25:00,0,0,57,487.75,600
"126","Tt0022",110608,NA,"Transmission","Mk10",1,"9/7/16 22:25","9/7/16 22:42","Surface",NA,"",NA,NA,1023,1025,826,198,2016-09-07 18:25:00,2016-09-07 18:42:00,0,0,57,NA,1024
"127","Tt0022",110608,NA,"Transmission","Mk10",1,"9/7/16 22:42","9/7/16 22:51","Dive",1,"Square",404,411.5,551,553,NA,NA,2016-09-07 18:42:00,2016-09-07 18:51:00,0,0,58,407.75,552
"128","Tt0022",110608,NA,"Transmission","Mk10",1,"9/7/16 22:51","9/7/16 22:53","Surface",NA,"",NA,NA,115,117,116,0,2016-09-07 18:51:00,2016-09-07 18:53:00,0,0,58,NA,116
"129","Tt0022",110608,NA,"Transmission","Mk10",1,"9/7/16 22:53","9/7/16 22:56","Dive",1,"U",182,185.5,195,197,NA,NA,2016-09-07 18:53:00,2016-09-07 18:56:00,0,0,59,183.75,196
"130","Tt0022",110608,NA,"Transmission","Mk10",1,"9/7/16 22:56","9/7/16 23:00","Surface",NA,"",NA,NA,217,219,197,21,2016-09-07 18:56:00,2016-09-07 19:00:00,0,0,59,NA,218
"133","Tt0022",110608,NA,"Transmission","Mk10",2,"9/7/16 23:46","9/7/16 23:52","Dive",1,"V",198,201.5,375,377,NA,NA,2016-09-07 19:46:00,2016-09-07 19:52:00,2340,1,60,199.75,376
"134","Tt0022",110608,NA,"Transmission","Mk10",2,"9/7/16 23:52","9/7/16 23:55","Surface",NA,"",NA,NA,165,167,166,0,2016-09-07 19:52:00,2016-09-07 19:55:00,0,0,60,NA,166
