,DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep,start,end,t.diff,flag,divenum,depth,duration
111,Tt0019,110606,NA,Transmission,Mk10,2,9/3/2016 2:03,9/3/2016 2:13,Dive,1,U,688,703.5,655,657,NA,NA,9/2/2016 22:03,9/2/2016 22:13,60,1,48,695.75,656
112,Tt0019,110606,NA,Transmission,Mk10,2,9/3/2016 2:13,9/3/2016 2:22,Surface,NA,,NA,NA,531,533,378,154,9/2/2016 22:13,9/2/2016 22:22,0,0,48,NA,532
113,Tt0019,110606,NA,Transmission,Mk10,2,9/3/2016 2:22,9/3/2016 2:33,Dive,1,U,624,639.5,635,637,NA,NA,9/2/2016 22:22,9/2/2016 22:33,0,0,49,631.75,636
114,Tt0019,110606,NA,Transmission,Mk10,2,9/3/2016 2:33,9/3/2016 2:39,Surface,NA,,NA,NA,367,369,344,24,9/2/2016 22:33,9/2/2016 22:39,0,0,49,NA,368
115,Tt0019,110606,NA,Transmission,Mk10,2,9/3/2016 2:39,9/3/2016 2:47,Dive,1,U,492,499.5,491,493,NA,NA,9/2/2016 22:39,9/2/2016 22:47,0,0,50,495.75,492
116,Tt0019,110606,NA,Transmission,Mk10,2,9/3/2016 2:47,9/3/2016 2:53,Surface,NA,,NA,NA,357,359,196,162,9/2/2016 22:47,9/2/2016 22:53,0,0,50,NA,358
117,Tt0019,110606,NA,Transmission,Mk10,2,9/3/2016 2:53,9/3/2016 2:58,Dive,1,V,126,129.5,299,301,NA,NA,9/2/2016 22:53,9/2/2016 22:58,0,0,51,127.75,300
118,Tt0019,110606,NA,Transmission,Mk10,2,9/3/2016 2:58,9/3/2016 3:02,Surface,NA,,NA,NA,203,205,171,33,9/2/2016 22:58,9/2/2016 23:02,0,0,51,NA,204
119,Tt0019,110606,NA,Transmission,Mk10,2,9/3/2016 3:02,9/3/2016 3:12,Dive,1,U,656,671.5,635,637,NA,NA,9/2/2016 23:02,9/2/2016 23:12,0,0,52,663.75,636
120,Tt0019,110606,NA,Transmission,Mk10,2,9/3/2016 3:12,9/3/2016 3:22,Surface,NA,,NA,NA,595,597,423,173,9/2/2016 23:12,9/2/2016 23:22,0,0,52,NA,596
122,Tt0019,110606,NA,Transmission,Mk10,1,9/3/2016 5:44,9/3/2016 5:50,Dive,1,U,276,283.5,391,393,NA,NA,9/3/2016 1:44,9/3/2016 1:50,8520,1,53,279.75,392
123,Tt0019,110606,NA,Transmission,Mk10,1,9/3/2016 5:50,9/3/2016 5:57,Surface,NA,,NA,NA,431,433,293,139,9/3/2016 1:50,9/3/2016 1:57,0,0,53,NA,432
124,Tt0019,110606,NA,Transmission,Mk10,1,9/3/2016 5:57,9/3/2016 6:06,Dive,1,U,404,411.5,507,509,NA,NA,9/3/2016 1:57,9/3/2016 2:06,0,0,54,407.75,508
125,Tt0019,110606,NA,Transmission,Mk10,1,9/3/2016 6:06,9/3/2016 6:12,Surface,NA,,NA,NA,387,389,263,125,9/3/2016 2:06,9/3/2016 2:12,0,0,54,NA,388
126,Tt0019,110606,NA,Transmission,Mk10,1,9/3/2016 6:12,9/3/2016 6:20,Dive,1,U,380,387.5,461,463,NA,NA,9/3/2016 2:12,9/3/2016 2:20,0,0,55,383.75,462
127,Tt0019,110606,NA,Transmission,Mk10,1,9/3/2016 6:20,9/3/2016 6:23,Surface,NA,,NA,NA,173,175,174,0,9/3/2016 2:20,9/3/2016 2:23,0,0,55,NA,174
128,Tt0019,110606,NA,Transmission,Mk10,1,9/3/2016 6:23,9/3/2016 6:25,Dive,1,U,81,82.5,133,135,NA,NA,9/3/2016 2:23,9/3/2016 2:25,0,0,56,81.75,134
129,Tt0019,110606,NA,Transmission,Mk10,1,9/3/2016 6:25,9/3/2016 6:31,Surface,NA,,NA,NA,339,341,197,143,9/3/2016 2:25,9/3/2016 2:31,0,0,56,NA,340
130,Tt0019,110606,NA,Transmission,Mk10,1,9/3/2016 6:31,9/3/2016 6:39,Dive,1,U,468,475.5,477,479,NA,NA,9/3/2016 2:31,9/3/2016 2:39,0,0,57,471.75,478
131,Tt0019,110606,NA,Transmission,Mk10,1,9/3/2016 6:39,9/3/2016 6:45,Surface,NA,,NA,NA,385,387,261,125,9/3/2016 2:39,9/3/2016 2:45,0,0,57,NA,386
